id	md5	size	urls
8f44efd89174f146688784a27d35b24b	2832e060e4aa4517b09724189acf7442	299495	http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS013638.fsa.gz,ftp://public-ftp.hmpdacc.org/HM16STR/by_sample/SRS013638.fsa.gz,s3://human-microbiome-project/HHS/HM16STR/by_sample/SRS013638.fsa.gz
91319e642fdd8a6e3b059cfb0512cef0	7104283976a26032b6d08d95086d6b52	3134426	http://downloads.hmpdacc.org/data/HM16STR/SRP002860/SRS013674.fsa,ftp://public-ftp.hmpdacc.org/HM16STR/SRP002860/SRS013674.fsa,s3://human-microbiome-project/HHS/HM16STR/SRP002860/SRS013674.fsa
8f44efd89174f146688784a27d7bc94a	099ee303cc7b6664e9db34a47e6641b0	295144	http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS013674.fsa.gz,ftp://public-ftp.hmpdacc.org/HM16STR/by_sample/SRS013674.fsa.gz,s3://human-microbiome-project/HHS/HM16STR/by_sample/SRS013674.fsa.gz
91319e642fdd8a6e3b059cfb05360daa	1a43251095138e0b0096416e959bf73e	750597	http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS066144.fsa.gz,ftp://public-ftp.hmpdacc.org/HM16STR/by_sample/SRS066144.fsa.gz,s3://human-microbiome-project/HHS/HM16STR/by_sample/SRS066144.fsa.gz
91319e642fdd8a6e3b059cfb05360daa	1a43251095138e0b0096416e959bf73e	750597	http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS066144.fsa.gz,ftp://public-ftp.hmpdacc.org/HM16STR/by_sample/SRS066144.fsa.gz,s3://human-microbiome-project/HHS/HM16STR/by_sample/SRS066144.fsa.gz
91319e642fdd8a6e3b059cfb05360daa	1a43251095138e0b0096416e959bf73e	750597	http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS066144.fsa.gz,ftp://public-ftp.hmpdacc.org/HM16STR/by_sample/SRS066144.fsa.gz,s3://human-microbiome-project/HHS/HM16STR/by_sample/SRS066144.fsa.gz
8f44efd89174f146688784a27d753ebf	35b12be83af347bce999c34cd0f1bcf0	10446444	http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS066188.fsa.gz,ftp://public-ftp.hmpdacc.org/HM16STR/by_sample/SRS066188.fsa.gz,s3://human-microbiome-project/HHS/HM16STR/by_sample/SRS066188.fsa.gz
91319e642fdd8a6e3b059cfb0527fc34	a855024c7003ed0b1a0234284baae652	313120	http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS024718.fsa.gz,ftp://public-ftp.hmpdacc.org/HM16STR/by_sample/SRS024718.fsa.gz,s3://human-microbiome-project/HHS/HM16STR/by_sample/SRS024718.fsa.gz
91319e642fdd8a6e3b059cfb05360daa	1a43251095138e0b0096416e959bf73e	750597	http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS066144.fsa.gz,ftp://public-ftp.hmpdacc.org/HM16STR/by_sample/SRS066144.fsa.gz,s3://human-microbiome-project/HHS/HM16STR/by_sample/SRS066144.fsa.gz
8f44efd89174f146688784a27d753ebf	35b12be83af347bce999c34cd0f1bcf0	10446444	http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS066188.fsa.gz,ftp://public-ftp.hmpdacc.org/HM16STR/by_sample/SRS066188.fsa.gz,s3://human-microbiome-project/HHS/HM16STR/by_sample/SRS066188.fsa.gz
8f44efd89174f146688784a27ddc9d18	2cc178116e17d88da3a7ff4a6e802045	537713	http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS063560.fsa.gz,ftp://public-ftp.hmpdacc.org/HM16STR/by_sample/SRS063560.fsa.gz,s3://human-microbiome-project/HHS/HM16STR/by_sample/SRS063560.fsa.gz
91319e642fdd8a6e3b059cfb05299157	0288e51b5e686d716ccc957ac8862f48	1071227	http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS065466.fsa.gz,ftp://public-ftp.hmpdacc.org/HM16STR/by_sample/SRS065466.fsa.gz,s3://human-microbiome-project/HHS/HM16STR/by_sample/SRS065466.fsa.gz
8f44efd89174f146688784a27da66bee	ca16edac38723f7a5f3140206e4f1d33	2371408	http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS014442.fsa.gz,ftp://public-ftp.hmpdacc.org/HM16STR/by_sample/SRS014442.fsa.gz,s3://human-microbiome-project/HHS/HM16STR/by_sample/SRS014442.fsa.gz
8f44efd89174f146688784a27da125c1	a25131363b08b3129da2b7b7000c0447	293203	http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS014458.fsa.gz,ftp://public-ftp.hmpdacc.org/HM16STR/by_sample/SRS014458.fsa.gz,s3://human-microbiome-project/HHS/HM16STR/by_sample/SRS014458.fsa.gz
